antecedents,consequents,support,confidence,lift,ant_class,con_class
"7BU1V7, TNAHD4",JEGRCL,0.004058929645219483,0.47368421052631576,8.58568765237344,mixed,A
CD1NU9,"SMMRK3, 56TC1Z",0.0042844257366205655,0.1283783783783784,8.582642944451992,A,mixed
"SMMRK3, 56TC1Z",CD1NU9,0.0042844257366205655,0.2864321608040201,8.58264294445199,mixed,A
"SMMRK3, WGHG3L",IA7X1P,0.004810583283223091,0.42666666666666664,8.54875502008032,mixed,C
"6M2FJM, KUFVRI",1JT1XB,0.005938063740228503,0.34955752212389385,8.54873763664758,mixed,B
1JT1XB,"6M2FJM, KUFVRI",0.005938063740228503,0.14522058823529413,8.54873763664758,B,mixed
"8N10W9, J3FI7N",TBCCF7,0.004585087191822009,0.3588235294117647,8.494285116181704,mixed,C
TBCCF7,"8N10W9, J3FI7N",0.004585087191822009,0.10854092526690391,8.494285116181704,C,mixed
"U95NWB, DGAONE",AKP0A7,0.004209260372820205,0.5436893203883495,8.479768720335992,mixed,A
7BU1V7,"W25EZN, XUZJ74",0.00661455201443175,0.1246458923512748,8.460657917557958,C,mixed
"W25EZN, XUZJ74",7BU1V7,0.00661455201443175,0.4489795918367347,8.460657917557958,mixed,C
"O9YFO8, I1KDJ0",AKP0A7,0.004585087191822009,0.5398230088495576,8.41946695162311,mixed,A
"IA7X1P, KTDZY0",W25EZN,0.006013229104028864,0.5298013245033113,8.411070192353286,mixed,C
"W25EZN, 8N10W9",5P2MVG,0.00473541791942273,0.1412556053811659,8.315329973411643,mixed,A
5P2MVG,"W25EZN, 8N10W9",0.00473541791942273,0.2787610619469027,8.315329973411643,A,mixed
"IA7X1P, TNAHD4",JEGRCL,0.005336740829825617,0.4580645161290323,8.302575371363279,mixed,A
"8N10W9, 8D9SAW",5P2MVG,0.005562236921226699,0.14068441064638784,8.281705306369663,mixed,A
5P2MVG,"8N10W9, 8D9SAW",0.005562236921226699,0.3274336283185841,8.281705306369663,A,mixed
"WRRW1W, 56TC1Z",IA7X1P,0.005186410102224895,0.4131736526946108,8.278407041339008,mixed,C
IA7X1P,"WRRW1W, 56TC1Z",0.005186410102224895,0.10391566265060241,8.278407041339008,C,mixed
"I1KDJ0, AKP0A7",J3FI7N,0.004209260372820205,0.20512820512820515,8.269774669774671,mixed,A
J3FI7N,"I1KDJ0, AKP0A7",0.004209260372820205,0.1696969696969697,8.26977466977467,A,mixed
"8D9SAW, WGHG3L",W25EZN,0.004810583283223091,0.5203252032520326,8.260628286473796,mixed,C
"8D9SAW, TNAHD4",JEGRCL,0.00751653638003608,0.45454545454545453,8.238791181570473,mixed,A
JEGRCL,"8D9SAW, TNAHD4",0.00751653638003608,0.1362397820163488,8.238791181570473,A,mixed
"8N10W9, O9YFO8",0LNUOV,0.004359591100420926,0.327683615819209,8.22547702803539,mixed,C
0LNUOV,"8N10W9, O9YFO8",0.004359591100420926,0.10943396226415095,8.22547702803539,C,mixed
"KTDZY0, 7BU1V7",XUZJ74,0.009095009019843656,0.6797752808988763,8.214105664921572,mixed,C
XUZJ74,"KTDZY0, 7BU1V7",0.009095009019843656,0.10990009082652134,8.214105664921572,C,mixed
0LNUOV,"W25EZN, I1KDJ0",0.004810583283223091,0.12075471698113208,8.19653446284174,C,mixed
"W25EZN, I1KDJ0",0LNUOV,0.004810583283223091,0.32653061224489793,8.19653446284174,mixed,C
"RAUDQ6, I1KDJ0",AKP0A7,0.005562236921226699,0.524822695035461,8.185511295136896,mixed,A
"W25EZN, KTDZY0",IA7X1P,0.006013229104028864,0.40816326530612246,8.1780181952299,mixed,C
IA7X1P,"W25EZN, KTDZY0",0.006013229104028864,0.12048192771084339,8.1780181952299,C,mixed
AB9XBU,"8N10W9, 56TC1Z",0.004134095009019844,0.22448979591836737,8.16014274562284,B,mixed
"8N10W9, 56TC1Z",AB9XBU,0.004134095009019844,0.15027322404371588,8.16014274562284,mixed,B
"2T1DJM, 7BU1V7",XUZJ74,0.0068400481058328326,0.6740740740740742,8.145214787903255,mixed,C
"XUZJ74, 0LNUOV",AKP0A7,0.004434756464221287,0.5221238938053098,8.143418854848582,mixed,A
"XUZJ74, SMMRK3",7BU1V7,0.017663860493084788,0.43119266055045874,8.125477558021675,mixed,C
7BU1V7,"XUZJ74, SMMRK3",0.017663860493084788,0.3328611898016997,8.125477558021675,C,mixed
"8N10W9, 5P2MVG",TNAHD4,0.0042844257366205655,0.43846153846153846,8.124362545532462,mixed,A
"SMMRK3, AKP0A7",7BU1V7,0.01127480457005412,0.4310344827586208,8.122496825241772,mixed,C
7BU1V7,"SMMRK3, AKP0A7",0.01127480457005412,0.21246458923512748,8.12249682524177,C,mixed
"1ENECA, KUFVRI",1JT1XB,0.008869512928442574,0.33146067415730335,8.10616325181758,mixed,B
1JT1XB,"1ENECA, KUFVRI",0.008869512928442574,0.21691176470588233,8.10616325181758,B,mixed
"8N10W9, 1ENECA",U95NWB,0.004058929645219483,0.36734693877551017,8.104782211392019,mixed,B
"DGAONE, AKP0A7",IA7X1P,0.0042844257366205655,0.4042553191489362,8.099718021020252,mixed,C
"WRRW1W, TNAHD4",JEGRCL,0.007065544197233915,0.44549763033175355,8.074796286013147,mixed,A
JEGRCL,"WRRW1W, TNAHD4",0.007065544197233915,0.12806539509536785,8.074796286013145,A,mixed
AKP0A7,"KTDZY0, 7BU1V7",0.006915213469633193,0.10785463071512309,8.061224758617964,A,mixed
"KTDZY0, 7BU1V7",AKP0A7,0.006915213469633193,0.5168539325842696,8.061224758617962,mixed,A
W25EZN,"8D9SAW, IA7X1P",0.006689717378232111,0.10620525059665874,8.028151442829248,C,mixed
"8D9SAW, IA7X1P",W25EZN,0.006689717378232111,0.5056818181818181,8.028151442829246,mixed,C
"IA7X1P, WRRW1W",TNAHD4,0.005336740829825617,0.4329268292682927,8.021808546776276,mixed,A
56TC1Z,"XUZJ74, IA7X1P",0.004960914010823813,0.11870503597122303,8.01650659168097,A,mixed
"XUZJ74, IA7X1P",56TC1Z,0.004960914010823813,0.3350253807106599,8.01650659168097,mixed,A
J3FI7N,"8N10W9, TBCCF7",0.004585087191822009,0.18484848484848487,8.010502418320009,A,mixed
"8N10W9, TBCCF7",J3FI7N,0.004585087191822009,0.19869706840390883,8.010502418320009,mixed,A
JEGRCL,"SMMRK3, TNAHD4",0.007967528562838245,0.14441416893732972,8.005358764759311,A,mixed
"SMMRK3, TNAHD4",JEGRCL,0.007967528562838245,0.4416666666666666,8.00535876475931,mixed,A
"IA7X1P, WRRW1W",WGHG3L,0.0042844257366205655,0.3475609756097561,7.9999156046923785,mixed,A
WGHG3L,"W25EZN, KTDZY0",0.005111244738424534,0.11764705882352941,7.985594237695078,A,mixed
"W25EZN, KTDZY0",WGHG3L,0.005111244738424534,0.346938775510204,7.985594237695077,mixed,A
5P2MVG,"8D9SAW, SMMRK3",0.004209260372820205,0.24778761061946908,7.962720704544485,A,mixed
"8D9SAW, SMMRK3",5P2MVG,0.004209260372820205,0.1352657004830918,7.962720704544484,mixed,A
"8D9SAW, Z8KPP8",JEGRCL,0.004585087191822009,0.4388489208633094,7.954286162350774,mixed,A
"JEGRCL, Z8KPP8",8D9SAW,0.004585087191822009,0.6630434782608696,7.954130238757988,mixed,B
"TNAHD4, I1KDJ0",JEGRCL,0.00473541791942273,0.4375,7.929836512261581,mixed,A
"DGAONE, SMMRK3",7BU1V7,0.004585087191822009,0.42068965517241386,7.927556901435969,mixed,C
"I1KDJ0, AKP0A7",RAUDQ6,0.005562236921226699,0.2710622710622711,7.891055698495524,mixed,A
RAUDQ6,"I1KDJ0, AKP0A7",0.005562236921226699,0.16192560175054704,7.891055698495523,A,mixed
"XUZJ74, SMMRK3",2OAVPY,0.00473541791942273,0.11559633027522936,7.886633733239238,mixed,C
2OAVPY,"XUZJ74, SMMRK3",0.00473541791942273,0.32307692307692304,7.886633733239237,C,mixed
"IA7X1P, 56TC1Z",W25EZN,0.004359591100420926,0.49572649572649574,7.870101788956204,mixed,C
"KTDZY0, I1KDJ0",J3FI7N,0.004209260372820205,0.19512195121951223,7.866371027346639,mixed,A
J3FI7N,"KTDZY0, I1KDJ0",0.004209260372820205,0.1696969696969697,7.866371027346638,A,mixed
"SMMRK3, LXJQVG",7BU1V7,0.00473541791942273,0.41721854304635764,7.862146595876405,mixed,C
W25EZN,"IA7X1P, SMMRK3",0.00947083583884546,0.15035799522673032,7.84455987645655,C,mixed
"IA7X1P, SMMRK3",W25EZN,0.00947083583884546,0.49411764705882355,7.844559876456549,mixed,C
